 ا 	 A
 برتنڠ 	 Bertenang
 اڤاكه 	 Apakah
 باڬوس 	 Bagus
 باڬاي 	 Bagai
 اڠكاو 	 Engkau
 برتنڠ 	 Bertenang
 تتاڤي 	 Tetapi
 امڤون 	 Ampun
 بڬيتو 	 Begitu
 ڬارڠڽ 	 Garangnya
 باڬوس 	 Bagus
 تاڽله 	 Tanyalah
 يا يا 	 Ya ya
 اڤ دي 	 Apa dia
 اڤاكه 	 Apakah
 اڠكاو 	 Engkau
 تتاڤي 	 Tetapi
 ڬنجرن 	 Ganjaran
 حيران 	 Hairan
 اڠكاو 	 Engkau
 اڠكاو 	 Engkau
 يا يا 	 Ya ya
 اڠكاو 	 Engkau
 سبنتر 	 Sebentar
 اخيرڽ 	 Akhirnya
 باڬوس 	 Bagus
 اڠكاو 	 Engkau
 امڤون 	 Ampun
 اڤاكه 	 Apakah
 اخيرڽ 	 Akhirnya
 اڤاكه 	 Apakah
 اڠكاو 	 Engkau
 كوتور 	 kotor
 اڤاكه 	 Apakah
 سيالن 	 Sialan
 إيمان 	 iman
 نيرنام 	 Nirnama
 ترڤولڠ 	 Terpulang
 تركجوت 	 Terkejut
 اه هاه 	 Aahhh
 برمبوس 	 Berambus
 كمودين 	 Kemudian
 نيرنام 	 Nirnama
 ڤرلاهن 	 Perlahan
 مناريق 	 Menarik
 ميستري 	 Misteri
 محاسبة 	 Muhasabah
 ادوهاي 	 Aduhai
 بياركن 	 Biarkan
 سمستيڽ 	 Semestinya
 موڠكين 	 Mungkin
 توانكو 	 Tuanku
 مناريق 	 Menarik
 چندانا 	 Cendana
 كاسيهن 	 Kasihan
 اڤ كات 	 Apa kata
 يا بنر 	 Ya benar
 برهنتي 	 Berhenti
 تهنيئه 	 Tahniah
 نيرنام 	 Nirnama
 بهاڬيا 	 Bahagia
 يقينله 	 Yakinlah
 نيرنام 	 Nirnama
 منچابر 	 Mencabar
 برمبوس 	 Berambus
 برتاهن 	 Bertahan
 نيرنام 	 Nirnama
 مستحيل 	 Mustahil
 نيرنام 	 Nirnama
 نيرنام 	 Nirnama
 يا بنر 	 Ya benar
 موڠكين 	 Mungkin
 ممبومي 	 Membumi
 مناريق 	 Menarik
 انقندا 	 Anakanda
 موڠكين 	 Mungkin
 سيلاكن 	 Silakan
 سيلاكن 	 Silakan
 كلوارله 	 Keluarlah
 باءيقله 	 Baiklah
 مڠڬيليڠ 	 Menggeleng
 باءيقله 	 Baiklah
 مڠڬيليڠ 	 Menggeleng
 برفيكير 	 Berfikir
 مڠڬيليڠ 	 Menggeleng
 ترڤرنجت 	 Terperanjat
 ااااارغ 	 Aaaaargh
 باڬوسله 	 Baguslah
 اكو رضا 	 Aku redha
 يا ڬورو 	 Ya guru
 ڤرچايله 	 Percayalah
 مڽراهله 	 Menyerahlah
 يا جاڬت 	 Ya Jagat
 ڤوتريكو 	 Puteriku
 جک تيدق 	 Jika tidak
 بياساله 	 Biasalah
 برتنڠله 	 Bertenanglah
 يا جهنم 	 Ya jahanam
 هارڤنكو 	 Harapanku
 بڠكيتله 	 Bangkitlah
 برتاروڠ 	 bertarung
 مڠڬيليڠ 	 Menggeleng
 سرو سموا 	 Seru semua
 اكو نديم 	 aku Nadim
 جاݢ ديري 	 Jaga diri
 كورڠ اجر 	 Kurang ajar
 تنڤا نام 	 Tanpa Nama
 واه برتڽ 	 Wah beratnya
 جک دمكين 	 Jika demikian
 باڬايمان 	 Bagaimana
 ووي جنين 	 Woi Jenin
 بنر جنين 	 Benar Jenin
 براني اڠ 	 Berani eng
 اوغ كناڤ 	 Ugh kenapa
 كورڠ اجر 	 Kurang ajar
 باڬايمان 	 Bagaimana
 دي ترڤان 	 Dia terpana
 نديم كلو 	 Nadim kelu
 خبرڽ اين 	 Khabarnya ini
 اه ككندا 	 Ah kakanda
 اه سبنتر 	 Ah sebentar
 نفسڽ تنڠ 	 Nafasnya tenang
 تنڤا نام 	 Tanpa nama
 سدركن دي 	 Sedarkan dia
 اكوككندا 	 Aku kakanda
 اه اڠكاو 	 Ah engkau
 كريس اين 	 Keris ini
 يا ككندا 	 Ya kakanda
 دي تركلو 	 Dia terkelu
 بنر نديم 	 Benar Nadim
 دي كتاوا 	 Dia ketawa
 كورڠ اجر 	 Kurang ajar
 باڬايمان 	 Bagaimana
 باڬايمان 	 Bagaimana
 الحمدلله 	 Alhamdulillah
 الحمدلله 	 Alhamdulillah
 دمي الله 	 Demi Allah
 باڬايمان 	 Bagaimana
 الحمدلله 	 Alhamdulillah
 اه يا يا 	 Ah ya ya
 الحمدلله 	 Alhamdulillah
 اه يا يا 	 Ah ya ya
 دي ترڠاڠا 	 Dia ternganga
 منمڤه موت 	 Menempah maut
 اڠكاو اين 	 Engkau ini
 تياد رومه 	 Tiada rumah
 الله أكبر 	 Allahu akbar
 دي ترسڽوم 	 Dia tersenyum
 الله اكبر 	 Allahu akbar
 الحمد لله 	 Alhamdulillah
 الحمد لله 	 Alhamdulillah
 دي ترجيدا 	 Dia terjeda
 الحمد لله 	 Alhamdulillah
 ڤاڤن كايو 	 papan kayu
 تياد ڤڠرس 	 Tiada pengeras
 دي ترسڠيه 	 Dia tersengih
 سڤرتي لمڠ 	 Seperti lemang
 معافكن مق 	 Maafkan mak
 سوده ڤستي 	 Sudah pasti
 توان ڤوان 	 Tuan puan
 اكو كاڬوم 	 Aku kagum
 تتاڤي تڬس 	 Tetapi tegas
 اه ڤق چيق 	 Ah pak cik
 تيدق ڤرلو 	 Tidak perlu
 ماتڽ تاجم 	 Matanya tajam
 دي ترڠاڠا 	 Dia ternganga
 دالمن كيت 	 Dalaman kita
 محمد جنين 	 Muhammad Jenin
 دڠن ڤانتس 	 Dengan pantas
 دي ترديام 	 Dia terdiam
 جاڬت سوچي 	 Jagat Suci
 تيدق مڠاڤ 	 Tidak mengapa
 سڤرڬوروان 	 Seperguruan
 اه اديواج 	 Ah Adiwaja
 جبت كتاوا 	 Jebat ketawa
 الحمد لله 	 Alhamdulillah
 دي مڠڠڬوق 	 Dia mengangguk
 دري كايڠن 	 Dari kayangan
 توجوه شرط 	 Tujuh syarat
 دي مڠڠڬوق 	 Dia mengangguk
 تياد بيذا 	 Tiada beza
 ماتڽ تاجم 	 Matanya tajam
 دي ترديام 	 Dia terdiam
 فيكيركنله 	 Fikirkanlah
 دي مڠڠڬوق 	 Dia mengangguk
 سين-لم-تا 	 Sin-lam-ta
 دي ترتاوا 	 Dia tertawa
 الحمدللّه 	 Alhamdulillah
 الحمدللّه 	 Alhamdulillah
 مشاء الله 	 Masya-Allah
 الحمدللّه 	 Alhamdulillah
 ڬلڤ ڬليتا 	 Gelap gelita
 دي مڽريڠا 	 Dia menyeringai
 اكو ممهمي 	 Aku memahami
 تيدق تيدق 	 Tidak tidak
 الحمد لله 	 Alhamdulillah
 جلس كاڬوم 	 Jelas kagum
 چاكڤله يا 	 Cakaplah ya
 خلاف كامي 	 Khilaf kami
 بنر بوندا 	 Benar bonda
 الله اكبر 	 Allahu akbar
 اوه بڬيتو 	 Oh begitu
 سوده ڤستي 	 Sudah pasti
 للا رنتاک 	 Lela rentaka
 كسيني جبت 	 Ke sini Jebat
 دي منوليه 	 Dia menoleh
 سياݢككندا 	 Siaga kakanda
 كيت كسانا 	 Kita ke sana
 جيدا سدتيق 	 Jeda sedetik
 دامر منوكس 	 Damar menukas
 چردس اورڠڽ 	 Cerdas orangnya
 اكو ممهميڽ 	 Aku memahaminya
 جبت ترتاوا 	 Jebat tertawa
 ككل ممباتو 	 Kekal membatu
 ايت ددارتن 	 Itu di daratan
 ماچم اينله 	 Macam inilah
 ڬوناله عقل 	 Gunalah akal
 دي مڠڬيليڠ 	 Dia menggeleng
 تڠڬڠ انقكو 	 Tanggang anakku
 بالسن توهن 	 Balasan Tuhan
 ڤدڬڠ مشهور 	 Pedagang masyhur
 ڤمبري ڽاوا 	 Pemberi Nyawa
 سأورڠ ديري 	 Seorang diri
 بويوڠ كالي 	 Buyong Kali
 ماتڽ ممبسر 	 Matanya membesar
 كران ايتله 	 Kerana itulah
 كوروس كريڠ 	 Kurus kering
 نديم كتاوا 	 Nadim ketawa
 هاه نيرنام 	 Hah Nirnama
 نديم كتاوا 	 Nadim ketawa
 هاه دهاݢله 	 Hah dahagalah
 اكو ككنداڽ 	 Aku kakandanya
 ايوه راكن٢ 	 Ayuh rakan-rakan
 هاه ايت دي 	 Hah itu dia
 سبنتر سهاج 	 Sebentar sahaja
 اڠكاو ڬورو 	 Engkau guru
 مک ترجونله 	 Maka terjunlah
 ماتڽ ممبسر 	 Matanya membesar
 نديم كتاوا 	 Nadim ketawa
 نديم منچله 	 Nadim mencelah
 باڬوس جنين 	 Bagus Jenin
 دي مڠڬيليڠ 	 Dia menggeleng
 هاڤوسكن دي 	 Hapuskan dia
 ماتڽ بركاچ 	 Matanya berkaca
 ماتڽ ممبسر 	 Matanya membesar
 دي برڤاليڠ 	 Dia berpaling
 نديم كتاوا 	 Nadim ketawa
 نديم كتاوا 	 Nadim ketawa
 نديم منچله 	 Nadim mencelah
 فهم توانكو 	 Faham tuanku
 ايوه دودوق 	 Ayuh duduk
 نديم تروجا 	 Nadim teruja
 توها منچله 	 Tuha mencelah
 جبت مندڠوس 	 Jebat mendengus
 هاتي كهاتي 	 Hati ke hati
 توها برتڬس 	 Tuha bertegas
 توها منچله 	 Tuha mencelah
 توها منچله 	 Tuha mencelah
 چلاک كالين 	 Celaka kalian
 سموا برنام 	 Semua bernama
 باءيق ڬورو 	 Baik guru
 اتاو كرامت 	 Atau keramat
 دي مڠڬيليڠ 	 Dia menggeleng
 صوفي جوندى 	 Sufi jundi
 جبت مندڠوس 	 Jebat mendengus
 سقسيكن اين 	 Saksikan ini
 تتاڤي كيني 	 Tetapi kini
 بارو ترسدر 	 Baru tersedar
 دي مڠڬيليڠ 	 Dia menggeleng
 هاتي٢ ڬورو 	 Hati-hati guru
 جاڠن ريساو 	 Jangan risau
 دي مندوڠاق 	 Dia mendongak
 بوكن دسيني 	 Bukan di sini
 دي منوندوق 	 Dia menunduk
 اڤاكه ڬورو 	 Apakah guru
 بنر توانكو 	 Benar tuanku
 دي مندوڠاق 	 Dia mendongak
 تاجيڽ ڤنجڠ 	 Tajinya panjang
 نديم كتاوا 	 Nadim ketawa
 دي مڠڬيليڠ 	 Dia menggeleng
 اكو نيرنام 	 Aku Nirnama
 دي مڠڬيليڠ 	 Dia menggeleng
 جبت ترتاوا 	 Jebat tertawa
 كوچر-كاچير 	 Kucar-kacir
 دڠن ايذينڽ 	 Dengan izin-Nya
 جبت مڠڠڬوق 	 Jebat mengangguk
 چلاک كالين 	 Celaka kalian
 ايوه بڠكيت 	 Ayuh bangkit
 بنر توانكو 	 Benar tuanku
 بنر توانكو 	 Benar tuanku
 نديم منچله 	 Nadim mencelah
 ماچم٢ اولهڽ 	 Macam-macam ulahnya
 اكو ترهيبور 	 Aku terhibur
 تڠكوقڽ مرمڠ 	 Tengkuknya meremang
 هيه هيه هيه 	 Heh heh heh
 ايت امانهكو 	 Itu amanahku
 دسير نيرنام 	 Desir Nirnama
 نديم منچبيق 	 Nadim mencebik
 نديم منچبيق 	 Nadim mencebik
 سلام ڤركنلن 	 Salam perkenalan
 ماتڽ برسينر 	 Matanya bersinar
 سقدر بركنلن 	 Sekadar berkenalan
 باڬوس باڬوس 	 Bagus bagus
 نديم مڠڠڬوق 	 Nadim mengangguk
 جاڠنله ماره 	 Janganlah marah
 مالم اين يا 	 Malam ini ya
 نديم ترتاوا 	 Nadim tertawa
 ماتڽ ممبولت 	 Matanya membulat
 مانيس سكالي 	 Manis sekali
 مناريق بوكن 	 Menarik bukan
 مندڠوس كچيل 	 Mendengus kecil
 تڠڬڠ ترڤمڤن 	 Tanggang terpempan
 مانوق ڤنسوه 	 Manuk Pansuh
 تڠڬڠ مندڠوس 	 Tanggang mendengus
 نديم مڠڠڬوق 	 Nadim mengangguk
 تريما كاسيه 	 Terima kasih
 ماتڽ ممبولت 	 Matanya membulat
 تريما كاسيه 	 Terima kasih
 جليتا منچله 	 Jelita mencelah
 جليتا منمبه 	 Jelita menambah
 اينله إسلام 	 Inilah Islam
 سموا ترتاوا 	 Semua tertawa
 إن شاء الله 	 Insya-Allah
 معاف نيرنام 	 Maaf Nirnama
 ممباتو سهاج 	 Membatu sahaja
 ماتڽ ممبولت 	 Matanya membulat
 ايكوتله اكو 	 Ikutlah aku
 ماتڽ ممبولت 	 Matanya membulat
 چنتيق سكالي 	 Cantik sekali
 جلس دي مورک 	 Jelas dia murka
 ماتڽ ممبولت 	 Matanya membulat
 تاريق نفسمو 	 Tarik nafasmu
 سڤرتي سكارڠ 	 Seperti sekarang
 جنين ترسڽوم 	 Jenin tersenyum
 استغفر الله 	 Astaghfirullah
 ڬراهم دكتڤڽ 	 Geraham diketapnya
 ڤيڤيڽ چڠكوڠ 	 Pipinya cengkung
 ڬراهم دكتڤڽ 	 Geraham diketapnya
 اكو برڤواسا 	 Aku berpuasa
 ڤرلاهن-لاهن 	 Perlahan-lahan
 جلس توجوانڽ 	 Jelas tujuannya
 تق سرونوقله 	 Tak seronoklah
 ماتڽ ممبولت 	 Matanya membulat
 إن شاء الله 	 Insya-Allah
 إن شاء الله 	 Insya-Allah
 جلس برسماڠت 	 Jelas bersemangat
 نديم منچبيق 	 Nadim mencebik
 تڬقكن كبنرن 	 Tegakkan kebenaran
 سوده سمستيڽ 	 Sudah semestinya
 جبت برسوارا 	 Jebat bersuara
 نديم منچبيق 	 Nadim mencebik
 ڤمرينته كيت 	 Pemerintah kita
 توها ترڤمڤن 	 Tuha terpempan
 نيرنام ديام 	 Nirnama diam
 سڤرتي سكارڠ 	 Seperti sekarang
 توها مندڠوس 	 Tuha mendengus
 توها منوليه 	 Tuha menoleh
 نديم ترتاوا 	 Nadim tertawa
 كلوار سكارڠ 	 Keluar sekarang
 سموا ترديام 	 Semua terdiam
 نيرنام اكور 	 Nirnama akur
 تڠكوقڽ مرمڠ 	 Tengkuknya meremang
 ماتڽ منجڬيل 	 Matanya menjegil
 تتاڤي اڠكاو 	 Tetapi engkau
 ماتڽ منجڬيل 	 Matanya menjegil
 توها ترڤمڤن 	 Tuha terpempan
 توها ترتاوا 	 Tuha tertawa
 ڬراهم دكتڤڽ 	 Geraham diketapnya
 ايوه اديندا 	 Ayuh adinda
 چلاک نيرنام 	 Celaka Nirnama
 كيت بربينچڠ 	 Kita berbincang
 توها ترتاوا 	 Tuha tertawa
 توها مڠڠڬوق 	 Tuha mengangguk
 تريما كاسيه 	 Terima kasih
 تريما كاسيه 	 Terima kasih
 تيدق اد اڤ٢ 	 Tidak ada apa-apa
 باڬوس باڬوس 	 Bagus bagus
 تيدق اد اڤ٢ 	 Tidak ada apa-apa
 نيرنام مارا 	 Nirnama mara
 نيرنام ديام 	 Nirnama diam
 استغفراللّه 	 Astaghfirullah
 سڽومنڽ ليبر 	 Senyumannya lebar
 تيدق برڬنجق 	 Tidak berganjak
 هيڠݢ كأخيرڽ 	 Hingga ke akhirnya
 نديم ترسڠيه 	 Nadim tersengih
 تريما كاسيه 	 Terima kasih
 داره ممرچيک 	 Darah memercik
 داره ممرچيق 	 Darah memercik
 جنين مڠڠڬوق 	 Jenin mengangguk
 ايتله اڠكاو 	 Itulah engkau
 نديم منچبيق 	 Nadim mencebik
 اوتق برڬليݢ 	 Otak bergeliga
 ڤڠليما حمزه 	 Panglima Hamzah
 مڠڠكت كبنرن 	 Mengangkat kebenaran
 نديم منچبيق 	 Nadim mencebik
 نديم مڠڠڬوق 	 Nadim mengangguk
 واه واه واه 	 Wah wah wah
 نديم مڠڠڬوق 	 Nadim mengangguk
 ڤڠليما حمزه 	 Panglima Hamzah
 ايوه نيرنام 	 Ayuh Nirnama
 سڤرتي بياسا 	 Seperti biasa
 اين ڤڠحرمتن 	 Ini penghormatan
 ايتله إسلام 	 Itulah Islam
 سوده سمستيڽ 	 Sudah semestinya
 جنين تركاكو 	 Jenin terkaku
 واجهڽ دأڠكت 	 Wajahnya diangkat
 دياله اورڠڽ 	 Dialah orangnya
 جنين مڠڠڬوق 	 Jenin mengangguk
 ڤرڬي نيرنام 	 Pergi Nirnama
 باڠون منصور 	 Bangun Mansur
 ياعلاءالدين 	 Ya Alauddin
 تاواڽ سيرنا 	 Tawanya sirna
 ڤارڠ دأڠكتڽ 	 Parang diangkatnya
 هيدوڤ دجالنن 	 Hidup di jalanan
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 داهيڽ بركروت 	 Dahinya berkerut
 داهيڽ بركروت 	 Dahinya berkerut
 كريس دتواجهڽ 	 Keris ditujahnya
 ايوه اكو اجر 	 Ayuh aku ajar
 سڽومنڽ مليبر 	 Senyumannya melebar
 ايوه كتمڤتكو 	 Ayuh ke tempatku
 برسيهكن ديري 	 Bersihkan diri
 دمكين جوݢ دي 	 Demikian juga dia
 نامكو چندانا 	 Namaku Cendana
 نيرنام بڠكيت 	 Nirnama bangkit
 تورونكن نديم 	 Turunkan Nadim
 يا انق-انقكو 	 Ya anak-anakku
 ماتڽ تربلالق 	 Matanya terbelalak
 چندانا منمبه 	 Cendana menambah
 سي باڤ منمبه 	 Si bapa menambah
 چندانا تروجا 	 Cendana teruja
 جنين مڠڬيليڠ 	 Jenin menggeleng
 السلام عليكم 	 Assalamualaikum
 جنين مڠڬيليڠ 	 Jenin menggeleng
 جنين برسوارا 	 Jenin bersuara
 اكو اكن كسان 	 Aku akan ke sana
 داكڤن دلڤسكن 	 Dakapan dilepaskan
 توبوهڽ كڤنتن 	 Tubuhnya kepenatan
 اديواج كتاوا 	 Adiwaja ketawa
 مڠاول ڤرنفسن 	 Mengawal pernafasan
 سست دان روسق 	 Sesat dan rosak
 ملالوءي عالم 	 Melalui alam
 چندانا منمبه 	 Cendana menambah
 چلاک سنتوبوڠ 	 Celaka Santubong
 سلاماڽ بڬيتو 	 Selamanya begitu
 ككودا دبوكاڽ 	 Kekuda dibukanya
 هيه بارو اڠک 	 Heh baru engka
 نديم برڤاليڠ 	 Nadim berpaling
 نيرنام ترڤان 	 Nirnama terpana
 منعمتي كتنڠن 	 Menikmati ketenangan
 توانكو اڤاكه 	 Tuanku Apakah
 امڤون توانكو 	 Ampun tuanku
 برتنڠ اديواج 	 Bertenang Adiwaja
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 اڠكت كڤالامو 	 Angkat kepalamu
 سايو نن هيبا 	 Sayu nan hiba
 ماتڽ تربلياق 	 Matanya terbeliak
 هلامن تراتقڽ 	 Halaman terataknya
 اڤ مقصود چيق 	 Apa maksud Cik
 لنتس مڠڬيليڠ 	 Lantas menggeleng
 هاه اكو تاهو 	 Hah aku tahu
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 ڤندڠنڽ ديڠين 	 Pandangannya dingin
 سمبهن دأڠكتڽ 	 Sembahan diangkatnya
 نيرنام مڠولڠ 	 Nirnama mengulang
 بوكن سڤاروه٢ 	 Bukan separuh-separuh
 ايڠت حال اين 	 Ingat hal ini
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 كستوري منمبه 	 Kasturi menambah
 تياد برڤواقن 	 Tiada berpuakan
 تنڤا نام  يا 	 Tanpa nama  Ya
 چندانا ترڤان 	 Cendana terpana
 نيرنام ترڤان 	 Nirnama terpana
 سڽومنڽ مليبر 	 Senyumannya melebar
 داهيڽ بركروت 	 Dahinya berkerut
 السلام عليكم 	 Assalamualaikum
 بوكن مسئلهكو 	 Bukan masalahku
 داهيڽ بركروت 	 Dahinya berkerut
 ڤندڠنڽ مناجم 	 Pandangannya menajam
 ڤرڬرقنڽ تڠكس 	 Pergerakannya tangkas
 دي تروس مارا 	 Dia terus mara
 برسيهكن هاتي 	 Bersihkan hati
 داهيڽ بركروت 	 Dahinya berkerut
 ماتڽ تربونتڠ 	 Matanya terbuntang
 امڤون توانكو 	 Ampun tuanku
 برتنڠ توانكو 	 Bertenang tuanku
 امڤون توانكو 	 Ampun tuanku
 ڤاتيق اديواج 	 Patik Adiwaja
 نيرنام برتڬس 	 Nirnama bertegas
 بركروت داهيڽ 	 Berkerut dahinya
 امڤون توانكو 	 Ampun tuanku
 توڠكت دهنتقڽ 	 Tongkat dihentaknya
 باڠون نيرنام 	 Bangun Nirnama
 برسديا ككندا 	 Bersedia kakanda
 نيرنام منمبه 	 Nirnama menambah
 ساڠت مروڬيكن 	 Sangat merugikan
 كڤريتن دراسا 	 Keperitan dirasai
 امڤون توانكو 	 Ampun tuanku
 الله برسامکو 	 Allah bersamaku
 سڽومنڽ مليبر 	 Senyumannya melebar
 دي بنر٢ لتيه 	 Dia benar-benar letih
 چندانا منچله 	 Cendana mencelah
 السلام عليكم 	 Assalamualaikum
 مها بسر الله 	 Maha Besar Allah
 داره ترڤرچيک 	 Darah terpercik
 دي ڤولا مڽرڠ 	 Dia pula menyerang
 داهيڽ برداره 	 Dahinya berdarah
 ماتيله اڠكاو 	 Matilah engkau
 هاه لاكوكنله 	 Hah lakukanlah
 كامي برستوجو 	 Kami bersetuju
 توانكو ڤوتري 	 Tuanku puteri
 كوليتڽ تربله 	 Kulitnya terbelah
 سيڬق دان كمس 	 Segak dan kemas
 اورڠ ڤرمڤوان 	 Orang perempuan
 اله كامو اين 	 Alah kamu ini
 بنر ڤق كادوق 	 Benar Pak Kaduk
 نديم برانسور 	 Nadim beransur
 كستوري منمبه 	 Kasturi menambah
 امڤون توانكو 	 Ampun tuanku
 ماتڽ تربلالق 	 Matanya terbelalak
 ككبالنڽ هيلڠ 	 Kekebalannya hilang
 امڤون توانكو 	 Ampun tuanku
 ڤچه تاوا جبت 	 Pecah tawa Jebat
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 كستوري منچله 	 Kasturi mencelah
 كستوري بڠكيت 	 Kasturi bangkit
 نيرنام بڠكيت 	 Nirnama bangkit
 توروت ترسڽوم 	 Turut tersenyum
 ايوه برسامکو 	 Ayuh bersamaku
 امان بربنديڠ 	 aman berbanding
 نيرنام بڠكيت 	 Nirnama bangkit
 انقندا دڠرله 	 Anakanda dengarlah
 صبح تله تيبا 	 Subuh telah tiba
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 امڤون توانكو 	 Ampun tuanku
 برڬرقله كالين 	 Bergeraklah kalian
 اكو بركات بنر 	 Aku berkata benar
 جک اڠكاو ممڤو 	 Jika engkau mampu
 اكو تيدق تاهو 	 Aku tidak tahu
 اكو بوليه اجر 	 Aku boleh ajar
 براوندور نديم 	 Berundur Nadim
 لڠكهنڽ ترهنتي 	 Langkahannya terhenti
 ماسيڠ٢ ممبيسو 	 Masing-masing membisu
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 وعليكم السلام 	 Waalaikumussalam
 تڠڬڠ منچادڠكن 	 Tanggang mencadangkan
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 نيرنام بردسير 	 Nirnama berdesir
 لڠكهنڽ ترهنتي 	 Langkahannya terhenti
 نيرنام ممبالس 	 Nirnama membalas
 چندانا ترڤمڤن 	 Cendana terpempan
 مناريق مناريق 	 Menarik menarik
 چندانا ترتاوا 	 Cendana tertawa
 چندانا ترتاوا 	 Cendana tertawa
 اد يڠ مڠڬيليڠ 	 Ada yang menggeleng
 نيرنام بردسير 	 Nirnama berdesir
 ڤق چيق مق چيق 	 Pak cik mak cik
 نيرنام برديري 	 Nirnama berdiri
 نيرنام بردسير 	 Nirnama berdesir
 اكو ملڤسكن دي 	 aku melepaskan dia
 سموا تله ماتي 	 Semua telah mati
 نيرنام ترڤمڤن 	 Nirnama terpempan
 كباڽقنڽ للاكي 	 Kebanyakannya lelaki
 دي ميمڠ بڬيتو 	 Dia memang begitu
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 تروس دي باڠون 	 Terus dia bangun
 تنڤا ڤمرهاتين 	 Tanpa pemerhatian
 چندانا ترديام 	 Cendana terdiam
 وعليكم السلام 	 Waalaikumussalam
 نيرنام بردسير 	 Nirnama berdesir
 جنين تراڠڬوق٢ 	 Jenin terangguk-angguk
 واجه جنين تڬڠ 	 Wajah Jenin tegang
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 نيرنام بردسير 	 Nirnama berdesir
 لڠكهنڽ ترهنتي 	 Langkahannya terhenti
 سڤانتس موڠكين 	 Sepantas mungkin
