Dia ternganga. 	 دي ترڠاڠا.
Dia kembali ke tengah-tengah perkampungan. 	 دي كمبالي كتڠه-تڠه ڤركامڤوڠن.
Dia mendapatkan cangkul. 	 دي منداڤتكن چڠكول.
Sebelum matahari memunculkan diri, dia mula menggembur tanah, menggali lubang. 	 سبلوم ماتاهاري ممونچولكن ديري، دي مولا مڠڬمبور تانه، مڠڬالي لوبڠ.
Setiap satu lubang siap dikorek, dia akan berhenti dan bergerak mendapatkan satu mayat, lalu menarik dan menolak mayat itu ke dalam lubang tersebut. 	 ستياڤ ساتو لوبڠ سياڤ دكوريق، دي اكن برهنتي دان برڬرق منداڤتكن ساتو ميت، لالو مناريق دان منولق ميت ايت كدالم لوبڠ ترسبوت.
Bermula dengan jasad ayahanda, kemudian bondanya. 	 برمولا دڠن جسد ايهندا، كمودين بونداڽ.
Seterusnya, jasad yang paling hampir. 	 ستروسڽ، جسد يڠ ڤاليڠ همڤير.
Setiap kali mayat itu mahu dikambus, bibirnya akan meminta maaf. 	 ستياڤ كالي ميت ايت ماهو دكمبوس، بيبيرڽ اكن ممينتا معاف.
Tetapi tiada lagi air mata. 	 تتاڤي تياد لاڬي اءير مات.
Hatta, ketika mengebumikan jenazah ayahanda dan bondanya. 	 حتى، كتيک مڠبوميكن جنازه ايهندا دان بونداڽ.
Dia meminta maaf, dan hanya memandang mereka dengan pandangan redup. 	 دي ممينتا معاف، دان هاڽ ممندڠ مريک دڠن ڤندڠن ريدوڤ.
Jauh di dasar jiwa, dia bersumpah akan membalas dendam terhadap apa yang berlaku pada hari ini. 	 جاوه دداسر جيوا، دي برسومڤه اكن ممبالس دندم ترهادڤ اڤ يڠ برلاكو ڤد هاري اين.
Dia berterusan melakukan hal yang sama, berulang-ulang kali. 	 دي برتروسن ملاكوكن حال يڠ سام، براولڠ-اولڠ كالي.
Hanya berhenti ketika tiba waktu solat, dan makan minum sedikit sekadar untuk tenaga. 	 هاڽ برهنتي كتيک تيبا وقتو صلاة، دان ماكن مينوم سديكيت سقدر اونتوق تناݢ.
Tidak susah baginya mendapatkan makanan, memandangkan rumah-rumah di Perkampungan Gapura kosong semuanya. 	 تيدق سوسه باڬيڽ منداڤتكن ماكنن، ممندڠكن رومه٢ دڤركامڤوڠن ڬاڤورا كوسوڠ سمواڽ.
Rumah yang tidak terbakar sepenuhnya, masih tersedia bekalan makanan yang elok-elok. 	 رومه يڠ تيدق ترباكر سڤنوهڽ، ماسيه ترسديا بكلن ماكنن يڠ ايلوق٢.
Setiap kali mencangkul, dia hanya berfikir bagaimana mahu meneruskan hidup dan berazam untuk menyempurnakan dendamnya. 	 ستياڤ كالي منچڠكول، دي هاڽ برفيكير باڬايمان ماهو منروسكن هيدوڤ دان برعزم اونتوق مڽمڤورناكن دندمڽ.
Setiap hayunan cangkul, dia membayangkannya. 	 ستياڤ هايونن چڠكول، دي ممبايڠكنڽ.
Setiap kali cangkul menikam tanah, dia bersumpah akan melaksanakannya. 	 ستياڤ كالي چڠكول منيكم تانه، دي برسومڤه اكن ملقساناكنڽ.
Dia bagaikan sedang menggembur tanah untuk menanam benih tekadnya sendiri. 	 دي باڬايكن سدڠ مڠڬمبور تانه اونتوق منانم بنيه تيكدڽ سنديري.
Upacara ini berterusan selama seminggu. 	 اوڤاچارا اين برتروسن سلاما سميڠڬو.
Sehingga 523 mayat berjaya dikebumikan. 	 سهيڠݢ 523 ميت برجاي دكبوميكن.
Di hadapannya, terbentang 523 pusara. 	 دهادڤنڽ، تربنتڠ 523 ڤوسارا.
Angin menderu-deru, biasan pertembungan antara dia dan satu lembaga di hadapannya. 	 اڠين مندرو-درو، بياسن ڤرتمبوڠن انتارا دي دان ساتو لمباݢ دهادڤنڽ.
Semakin lama mereka bertarung, semakin jelas susuk lawannya itu. 	 سماكين لاما مريک برتاروڠ، سماكين جلس سوسوق لاونڽ ايت.
Seorang lelaki, berwajah garang dengan misai dan janggut yang sedikit tebal. 	 سأورڠ للاكي، برواجه ڬارڠ دڠن ميساي دان جڠڬوت يڠ سديكيت تبل.
Rambutnya pendek dan kemas, bertanjak megah, berpakaian pendekar yang diperbuat daripada kain yang terbaik lagi mahal. 	 رمبوتڽ ڤينديق دان كمس، برتنجق مڬه، برڤاكاين ڤنديكر يڠ دڤربوات درڤد كاءين يڠ ترباءيق لاڬي ماهل.
Kerisnya bukan senjata biasa-biasa. 	 كريسڽ بوكن سنجات بياسا٢.
Hanya mereka yang bertaraf laksamana mampu mempunyai keris sedemikian rupa. 	 هاڽ مريک يڠ برتارف لقسامان ممڤو ممڤوڽاءي كريس سدميكين روڤا.
Mereka sudah bertarung garang semenjak kelam dinihari sehingga terang mula merajai alam. 	 مريک سوده برتاروڠ ڬارڠ سمنجق كلم دينيهاري سهيڠݢ ترڠ مولا مراجاءي عالم.
Sekali-sekala, mereka bagaikan melayang saat menyerang atau mengelak serangan lawan. 	 سكالي-سكالا، مريک باڬايكن ملايڠ ساعت مڽرڠ اتاو مڠيلق سرڠن لاون.
Ibarat punya kesaktian tersendiri. 	 عبارت ڤوڽا كسقتين ترسنديري.
Masing-masing tidak terkalahkan. 	 ماسيڠ٢ تيدق تركالهكن.
Engkau boleh bertahan sebegini lama ya! Tidak hairanlah engkau mampu menumbangkan nama-nama besar di selatan ini!  Saukan cuba mencapai kepalanya. 	 اڠكاو بوليه برتاهن سبڬيني لاما يا! تيدق حيرانله اڠكاو ممڤو منومبڠكن نام٢ بسر دسلاتن اين!  ساءوقن چوبا منچاڤاي كڤالاڽ.
Dia tunduk tetapi dijamu pula dengan tujahan lutut lawan. 	 دي توندوق تتاڤي دجامو ڤولا دڠن تواجهن لوتوت لاون.
Tangkas dua lengan dinaikkan untuk mempertahankan diri. 	 تڠكس دوا لڠن دناءيقكن اونتوق ممڤرتاهنكن ديري.
Tubuhnya terangkat sekitar sehasta dari bumi. 	 توبوهڽ ترڠكت سكيتر سهستا دري بومي.
Tetapi engkau masih belum mampu menghadapi aku!   Tangan yang tadi cuba menyauk kepalanya, kini melawan arah dengan melepaskan pukulan silang. 	 تتاڤي اڠكاو ماسيه بلوم ممڤو مڠهادڤي اكو!  تاڠن يڠ تادي چوبا مڽاءوق كڤالاڽ، كيني ملاون اره دڠن ملڤسكن ڤوكولن سيلڠ.
Pantas dia mengangkat sebelah tangan dan kaki, mempertahankan kepala dan tubuh daripada menjadi mangsa. 	 ڤانتس دي مڠڠكت سبله تاڠن دان كاكي، ممڤرتاهنكن كڤالا دان توبوه درڤد منجادي مڠسا.
Namun, serangan pantas itu berisi tenaga yang begitu tinggi, membuatkan dia terpelanting ke tepi sebelum bergolek beberapa kali di lantai bumi. 	 نامون، سرڠن ڤانتس ايت برايسي تناݢ يڠ بڬيتو تيڠڬي، ممبواتكن دي ترڤلنتيڠ كتڤي سبلوم برڬوليق ببراڤ كالي دلنتاي بومي.
Bingkas dia bangkit dengan sebelah lutut dan tangan menongkat tubuh. 	 بيڠكس دي بڠكيت دڠن سبله لوتوت دان تاڠن منوڠكت توبوه.
Lawannya membuka tari silat, bagaikan memancing untuk dia memulakan serangan. 	 لاونڽ ممبوک تاري سيلت، باڬايكن ممنچيڠ اونتوق دي ممولاكن سرڠن.
Langkah si lawan itu kemas dan teratur. 	 لڠكه سي لاون ايت كمس دان تراتور.
Daripada buah-buah persilatannya, tidak mempamerkan sebarang kelemahan yang terbuka. 	 درڤد بواه٢ ڤرسيلتنڽ، تيدق ممڤاميركن سبارڠ كلمهن يڠ تربوک.
Tangannya perlahan-lahan beralun. 	 تاڠنڽ ڤرلاهن-لاهن برالون.
Seiring dia menarik nafas, tangan kiri merapati hadapan dada, sementara tangan kanan terjulur keluar. 	 سإيريڠ دي مناريق نفس، تاڠن كيري مراڤتي هادڤن دادا، سمنتارا تاڠن كانن ترجولور كلوار.
Ibu jari dilipat ke dalam telapak sedang jari-jemari lain terbuka lurus. 	 ايبو جاري دليڤت كدالم تلڤق سدڠ جاري-جماري لاين تربوک لوروس.
Pandangan redupnya memerhati lawan. 	 ڤندڠن ردوڤڽ ممرهاتي لاون.
Dia dan tetamu tanpa undangan itu telah bertukar puluhan jurus untuk beberapa ketika. 	 دي دان تتامو تنڤا اوندڠن ايت تله برتوكر  ڤولوهن جوروس اونتوق ببراڤ كتيک.
Sudah bersedia untuk tamatkan pertembungan ini?   Di manakah budak itu?  Bagai halilintar, suara itu menggegarkan Perkampungan Medini. 	 سوده برسديا اونتوق تمتكن ڤرتمبوڠن اين؟  دمانكه بودق ايت؟  باڬاي هليلينتر، سوارا ايت مڠڬڬركن ڤركامڤوڠن مديني.
Orang ramai yang ralit dengan urusan sendiri di tengah-tengah perkampungan tersebut, terperanjat besar melihat kehadiran sekumpulan lelaki lengkap bersenjata, didahului seorang lelaki bertubuh besar lagi sasa. 	 اورڠ راماي يڠ راليت دڠن اوروسن سنديري دتڠه-تڠه ڤركامڤوڠن ترسبوت، ترڤرنجت بسر مليهت كحاضيرن سكومڤولن للاكي لڠكڤ برسنجات، ددهولوءي سأورڠ للاكي برتوبوه بسر لاڬي ساس.
Tubuh sasa lelaki itu terselindung sebahagiannya di balik pakaian tebal yang diperbuat daripada kulit buaya. 	 توبوه ساس للاكي ايت ترسليندوڠ سبهاڬينڽ دباليق ڤاكاين تبل يڠ دڤربوات درڤد كوليت بوايا.
Tangan kanan memegang sebatang belantan besar lagi berduri, direhatkan di atas zirah pada bahu. 	 تاڠن كانن ممڬڠ سباتڠ بلنتن بسر لاڬي بردوري، دريحتكن دأتس زيراه ڤد باهو.
Mata lelaki itu terjegil memandang orang kampung yang terkulat-kulat dengan kehadirannya. 	 مات للاكي ايت ترجڬيل ممندڠ اورڠ كامڤوڠ يڠ تركولت-كولت دڠن كحاضيرنڽ.
Banyak urusan tergendala. 	 باڽق اوروسن ترݢندالا.
Yang sedang riuh berjual-beli di pasar, terhenti. 	 يڠ سدڠ ريوه برجوال-بلي دڤاسر، ترهنتي.
Yang sedang enak menjamu selera juga mencicip minuman di warung-warung, memalingkan kepala. 	 يڠ سدڠ اينق منجامو سليرا جوݢ منچيچيڤ مينومن دواروڠ-واروڠ، مماليڠكن كڤالا.
Di manakah Sang Kancil? Berani dia mempermain-mainkan aku!  Suara itu memetir lagi. 	 دمانكه سڠ كنچيل؟ براني دي ممڤرماءين-ماءينكن اكو!  سوارا ايت ممتير لاڬي.
Kali ini, banyak bahu terenjut kecut. 	 كالي اين، باڽق باهو ترانجوت كچوت.
Keadaan ini benar-benar membuatkan semua hilang bicara. 	 كأداءن اين بنر٢ ممبواتكن سموا هيلڠ بيچارا.
Bukanlah suatu perkara yang lumrah bagi seseorang yang berkuasa seperti lelaki itu bertamu ke perkampungan ini dengan rela. 	 بوكنله سواتو ڤركارا يڠ لومره باڬي سسأورڠ يڠ بركواس سڤرتي للاكي ايت برتامو كڤركامڤوڠن اين دڠن ريلا.
Sering orang bawahannya sahaja dikerah ke mari bagi mengutip cukai saban purnama. 	 سريڠ اورڠ باوهنڽ سهاج دكره كماري باڬي مڠوتيڤ چوكاي سابن ڤورنام.
Memandangkan tiada siapa yang menyahut pertanyaannya, lelaki itu mendengus kasar. 	 ممندڠكن تياد سياڤا يڠ مڽاهوت ڤرتاڽاءنڽ، للاكي ايت مندڠوس كاسر.
Dia menoleh ke arah kumpulan lelaki yang datang bersama-samanya. 	 دي منوليه كأره كومڤولن للاكي يڠ داتڠ برساما-سامڽ.
Mereka berpakaian hulubalang, zirah menyelimuti sebahagian tubuh, sementara sebahagian lagi diselimuti kain bermutu tinggi. 	 مريک برڤاكاين هولوبالڠ، زيراه مڽليموتي سبهاڬين توبوه، سمنتارا سبهاڬين لاڬي دسليموتي كاين برموتو تيڠڬي.
Bilangan mereka sekitar 30 orang. 	 بيلڠن مريک سكيتر 30 اورڠ.
Cari budak itu sampai ketemu!  Dua puluh lima orang berpecah ke merata arah sambil menghunus senjata masing-masing, sementara lima yang berbaki kekal di sisi lelaki tersebut. 	 چاري بودق ايت سمڤاي كتمو!  دوا ڤولوه ليم اورڠ برڤچه كمرات اره سمبيل مڠهونوس سنجات ماسيڠ٢، سمنتارا ليم يڠ برباقي ككل دسيسي للاكي ترسبوت.
Ini membuatkan orang ramai yang semenjak tadi terkulat-kulat, bertempiaran lari, risau akan keselamatan diri. 	 اين ممبواتكن اورڠ راماي يڠ سمنجق تادي تركولت-كولت، برتمڤيارن لاري، ريساو اكن كسلامتن ديري.
Ramai yang terlolong, risau menjadi mangsa keadaan. 	 راماي يڠ ترلولوڠ، ريساو منجادي مڠسا كأداءن.
Dari kejauhan, di sebuah warung, keadaan itu diperhatikan oleh ramai orang yang sedang membasahkan tekak. 	 دري كجاءوهن، دسبواه واروڠ، كأداءن ايت دڤرهاتيكن اوليه راماي اورڠ يڠ سدڠ ممباسهكن تكق.
Tidak sedikit yang kelam-kabut angkat kaki saat melihat kumpulan manusia itu mula berpecah dan bergerak dengan senjata nan terhunus. 	 تيدق سديكيت يڠ كلم-كابوت اڠكت كاكي ساعت مليهت كومڤولن ماءنسي ايت مولا برڤچه دان برڬرق دڠن سنجات نن ترهونوس.
Namun, sebahagian kecil masih menanti dan terus memerhati keadaan. 	 نامون، سبهاڬين كچيل ماسيه مننتي دان تروس ممرهاتي كأداءن.
Apalah onar Sang Kancil kali ini. 	 اڤاله اونر سڠ كنچيل كالي اين.
Tentunya melampau kalau si Bagak sendiri turun ke mari. 	 تنتوڽ ملمڤاو كالاو سي باڬق سنديري تورون كماري.
Salah seorang lelaki yang masih menanti kepada rakannya yang turut memerhati. 	 ساله سأورڠ للاكي يڠ ماسيه مننتي كڤد راكنڽ يڠ توروت ممرهاتي.
Nakal sangat budaknya. 	 ناكل ساڠت بودقڽ.
Macam-macam ulahnya. 	 ماچم٢ اولهڽ.
Suka benar menyakat orang. 	 سوک بنر مڽاكت اورڠ.
Entah apa anginnya, kebelakangan ini suka benar dia bermain berhampiran sempadan istana si Bagak itu. 	 انته اڤ اڠينڽ، كبلاكڠن اين سوک بنر دي برماءين برهمڤيرن سمڤادن ايستان سي باڬق ايت.
Pasti dia ada mempersendakan si Bagak. 	 ڤستي دي اد ممڤرسنداكن سي باڬق.
Menempah maut. 	 منمڤه موت.
Perkampungan kita pula menjadi mangsa. 	 ڤركامڤوڠن كيت ڤولا منجادي مڠسا.
Kedua-duanya menggeleng. 	 كدوا-دواڽ مڠڬيليڠ.
Mereka kemudian melihat salah seorang daripada kumpulan manusia tadi mula bergerak ke arah warung tempat mereka berada. 	 مريک كمودين مليهت ساله سأورڠ درڤد كومڤولن ماءنسي تادي مولا برڬرق كأره واروڠ تمڤت مريک براد.
Sudah, aku mahu tutup warung. 	 سوده، اكو ماهو توتوڤ واروڠ.
Aku tidak mahu jadi mangsa. 	 اكو تيدق ماهو جادي مڠسا.
Bayar kemudian!  Tuan punya warung mula menarik kepingan-kepingan papan yang menjadi penutup kepada kawasan dalaman warungnya. 	 باير كمودين! توان ڤوڽا واروڠ مولا مناريق كڤيڠن٢ ڤاڤن يڠ منجادي ڤنوتوڤ كڤد كاوسن دالمن واروڠڽ.
Dua sahabat tadi baru menyedari yang mereka berdua sahaja tinggal di warung itu, bersama seorang lagi lelaki di meja berhampiran. 	 دوا صحابة تادي بارو مڽدري يڠ مريک بردوا سهاج تيڠڬل دواروڠ ايت، برسام سأورڠ لاڬي للاكي دميجا برهمڤيرن.
Mari kita beransur. 	 ماري كيت برانسور.
Mari. 	 ماري.
Eh? Salah seorang daripada dua sahabat itu menoleh. 	 إيه؟ ساله سأورڠ درڤد دوا صحابة ايت منوليه.
Engkau tidak mahu angkat kaki? Dia memandang seorang lelaki, segak bertanjak dan berpakaian kemas tetapi karung kain yang menemaninya jelas menunjukkan yang pemuda itu adalah seorang pengembara. 	 اڠكاو تيدق ماهو اڠكت كاكي؟ دي ممندڠ سأورڠ للاكي، سيڬق برتنجق دان برڤاكاين كمس تتاڤي كاروڠ كاءين يڠ منمانيڽ جلس منونجوقكن يڠ ڤمودا ايت اداله سأورڠ ڤڠمبارا.
Lelaki itu menoleh ke arah mereka. 	 للاكي ايت منوليه كأره مريک.
Segaris parut besar lagi panjang, dari bawah rahang kanan hingga hampir mencecah mata, terpamer. 	 سڬاريس ڤاروت بسر لاڬي ڤنجڠ، دري باوه راهڠ كانن هيڠݢ همڤير منچچه مات، ترڤامير.
Terkejut dua sahabat itu saat melihat parut tersebut. 	 تركجوت دوا صحابة ايت ساعت مليهت ڤاروت ترسبوت.
Engkau ini. 	 اڠكاو اين.
Hoi, beritahu aku di mana budak yang bergelar Sang Kancil itu? Satu suara mencantas kalam yang mahu dituturkan si sahabat tersebut. 	 هوي، بريتاهو اكو دمان بودق يڠ برڬلر سڠ كنچيل ايت؟ ساتو سوارا منچنتس كلام يڠ ماهو دتوتوركن سي صحابة ترسبوت.
Dua sahabat tadi menoleh. 	 دوا صحابة تادي منوليه.
Tiga orang hulubalang Bagak Durjana sudah tiba ke warung tersebut. 	 تيݢ اورڠ هولوبالڠ باڬق دورجان سوده تيبا كواروڠ ترسبوت.
Dia anak yatim piatu. 	 دي انق يتيم ڤياتو.
Tiada rumah. 	 تياد رومه.
Hidup di jalanan. 	 هيدوڤ دجالنن.
Dia boleh berada di mana-mana. 	 دي بوليه براد دمانا-مان.
Malah, mungkin telah melarikan diri! Salah seorang daripada dua sahabat itu bersuara. 	 ماله، موڠكين تله ملاريكن ديري! ساله سأورڠ درڤد دوا صحابة ايت برسوارا.
Jadi, engkau kenal dia? Sebilah pedang dihunus dari sarung, terus diacu ke leher si sahabat yang berbicara tadi. 	 جادي، اڠكاو كنل دي؟ سبيله ڤدڠ دهونوس دري سأروڠ، تروس دأچو كليهير سي صحابة يڠ بربيچارا تادي.
Ikut kami sekarang!  Dua hulubalang yang lain memanjangkan tombak masing-masing, memukul bahu kedua-dua sahabat tersebut agar merapat. 	 ايكوت كامي سكارڠ!  دوا هولوبالڠ يڠ لاين ممنجڠكن تومبق ماسيڠ٢، مموكول باهو كدوا-دوا صحابة ترسبوت اڬر مراڤت.
Dua sahabat itu terketar-ketar. 	 دوا صحابة ايت تركتار-كتار.
Wajah mereka pucat. 	 واجه مريک ڤوچت.
Sesal memagut-magut jiwa kerana mereka tidak angkat kaki lebih awal seperti yang lain. 	 سسل مماڬوت٢ جيوا كران مريک تيدق اڠكت كاكي لبيه اول سڤرتي يڠ لاءين.
Bagai baru menyedari kehadiran si pengembara di meja berhampiran, hulubalang-hulubalang Bagak Durjana itu terbega kehairanan dengan ketenangan yang dipamerkan oleh lelaki tersebut. 	 باڬاي بارو مڽدري كحاضيرن سي ڤڠمبارا دميجا برهمڤيرن، هولوبالڠ٢ باڬق دورجان ايت تربيڬا كحيرانن دڠن كتنڠن يڠ دڤاميركن اوليه للاكي ترسبوت.
Lelaki berparut itu bersahaja dan tenang mencicip minuman daripada reruas buluh yang menjadi bekas minuman di warung itu. 	 للاكي برڤاروت ايت برسهاج دان تنڠ منچيچيڤ مينومن درڤد ررواس بولوه يڠ منجادي بكس مينومن دواروڠ ايت.
Pandangannya kekal terpaku ke arah Bagak Durjana. 	 ڤندڠنڽ ككل ترڤاكو كأره باڬق دورجان.
Langsung tidak memerhatikan pertembungan antara lima manusia yang berhampiran dirinya. 	 لڠسوڠ تيدق ممرهاتيكن ڤرتمبوڠن انتارا ليم ماءنسي يڠ برهمڤيرن ديريڽ.
Ewah, ewah, engkau buat bodoh saja ya!  Acah-acah berani ya?  Berlagak hebat!  Ketiga-tiga hulubalang Bagak Durjana itu mengalihkan perhatian kepada lelaki tersebut. 	 إيوه، إيوه، اڠكاو بوات بودوه ساج يا!  اچه٢ براني يا؟  برلاڬق هيبت! كتيݢا-تيݢ هولوبالڠ باڬق دورجان ايت مڠاليهكن ڤرهاتين كڤد للاكي ترسبوت.
Tercalar angkuh masing-masing apabila ada yang tidak langsung mempamerkan rasa takut mahupun hormat saat berhadapan dengan mereka. 	 ترچالر اڠكوه ماسيڠ٢ اڤابيلا اد يڠ تيدق لڠسوڠ ممڤاميركن راس تاكوت ماهوڤون حرمت ساعت برهادڤن دڠن مريک.
Celaka!  Kendatipun begitu, lelaki tersebut masih tidak memandang akan mereka. 	 چلاک!  كنداتيڤون بڬيتو، للاكي ترسبوت ماسيه تيدق ممندڠ اكن مريک.
Dua hulubalang Bagak Durjana yang bertombak mula melibas senjata masing-masing. 	 دوا هولوبالڠ باڬق دورجان يڠ برتومبق مولا مليبس سنجات ماسيڠ٢.
Bunyi meja kayu kerkecai seribu menggegar suasana. 	 بوڽي ميجا كايو بركچاي سريبو مڠݢݢر سواسان.
Habuk dan debu naik berkepul-kepul, mengaburkan pandangan. 	 هابوق دان دبو ناءيق بركڤول-كڤول، مڠابوركن ڤندڠن.
Tanpa disangka-sangka, sepasang tangan keluar dari kepulan habuk dan debu itu lalu mencapai kedua-dua batang tombak. 	 تنڤا دسڠکا-سڠک، سڤاسڠ تاڠن كلوار دري كڤولن هابوق دان دبو ايت لالو منچاڤاي كدوا-دوا باتڠ تومبق.
Belum sempat hulubalang-hulubalang Bagak Durjana memberikan tindak balas, batang-batang tombak itu telah dipatahkan dan bilah-bilahnya dilempar menembusi kepala pemilik-pemiliknya. 	 بلوم سمڤت هولوبالڠ٢ باڬق دورجان ممبريكن تيندق بالس، باتڠ٢ تومبق ايت تله دڤاتهكن دان بيله-بيلهڽ دليمڤر منمبوسي كڤالا ڤميليک-ڤميليكڽ.
Daripada tiga, tinggal seorang hulubalang Bagak Durjana, sedang terbelalak. 	 درڤد تيݢ، تيڠڬل سأورڠ هولوبالڠ باڬق دورجان، سدڠ تربلالق.
Terkejut amat dengan apa yang berlaku. 	 تركجوت امت دڠن اڤ يڠ برلاكو.
Si pengembara yang berparut di pipi itu sudah berdiri di hadapannya. 	 سي ڤڠمبارا يڠ برڤاروت دڤيڤي ايت سوده برديري دهادڤنڽ.
Pandangan lelaki itu tidak tajam, redup dan tenang sahaja. 	 ڤندڠن للاكي ايت تيدق تاجم، ردوڤ دان تنڠ سهاج.
Tetapi entah mengapa, gerun bagaikan menyerkup jiwa hulubalang Bagak Durjana yang berseorangan di situ pada ketika itu. 	 تتاڤي انته مڠاڤ، ڬرون باڬايكن مڽركوڤ جيوا هولوبالڠ باڬق دورجان يڠ برسأورڠن دسيتو ڤد كتيک ايت.
Dua sahabat yang tadinya hampir menjadi mangsa, juga terpaku disambar kagum saat melihat apa yang sedang berlaku di hadapan mereka berdua. 	 دوا صحابة يڠ تاديڽ همڤير منجادي مڠسا، جوݢ ترڤاكو دسمبر كاڬوم ساعت مليهت اڤ يڠ سدڠ برلاكو دهادڤن مريک بردوا.
Hulubalang Bagak Durjana yang masih berdiri, mengetap geraham. 	 هولوبالڠ باڬق دورجان يڠ ماسيه برديري، مڠتڤ ڬراهم.
Hulu pedang dipegangnya erat. 	 هولو ڤدڠ دڤڬڠڽ ارت.
Tanpa amaran, dia terus melibas senjata tersebut ke arah lelaki berparut itu. 	 تنڤا امرن، دي تروس مليبس سنجات ترسبوت كأره للاكي برڤاروت ايت.
