A. 	 ا.
Sunnah. 	 سنه.
Tetapi. 	 تتاڤي.
Teruja. 	 تروجا.
Apakah. 	 اڤاكه.
Engkau. 	 اڠكاو.
engkau. 	 اڠكاو.
Kenapa. 	 كناڤ.
Mereka. 	 مريک.
Engkau. 	 اڠكاو.
Jelita. 	 جليتا.
Hairan. 	 حيران.
Tenang. 	 تنڠ.
Apakah. 	 اڤاكه.
Aduhai. 	 ادوهاي.
Engkau. 	 اڠكاو.
Celaka. 	 چلاک.
Celaka. 	 چلاک.
Celaka. 	 چلاک.
Tuanku. 	 توانكو.
Melaka. 	 ملاک.
Tetapi. 	 تتاڤي.
Begitu. 	 بڬيتو.
Kurang. 	 كورڠ.
Ya, ya. 	 يا، يا.
Apakah. 	 اڤاكه.
Engkau. 	 اڠكاو.
Tetapi. 	 تتاڤي.
Hairan. 	 حيران.
Engkau. 	 اڠكاو.
Engkau. 	 اڠكاو.
Ya, ya. 	 يا، يا.
Celaka. 	 چلاک.
Celaka. 	 چلاک.
Engkau. 	 اڠكاو.
Celaka. 	 چلاک.
Engkau. 	 اڠكاو.
Apakah. 	 اڤاكه.
Celaka. 	 چلاک.
Apakah. 	 اڤاكه.
Engkau. 	 اڠكاو.
Apakah. 	 اڤاكه.
Sialan. 	 سيالن.
dengan. 	 دڠن.
Nirnama. 	 نيرنام.
Baiklah. 	 باءيقله.
Baiklah. 	 باءيقله.
Nirnama. 	 نيرنام.
Khusyuk. 	 خشوع.
Di sini. 	 دسيني.
Bangkit. 	 بڠكيت.
Menarik. 	 مناريق.
Misteri. 	 ميستري.
Biarkan. 	 بياركن.
Mungkin. 	 موڠكين.
Menarik. 	 مناريق.
Cendana. 	 چندانا.
Kasihan. 	 كاسيهن.
Apa dia. 	 اڤ دي.
Tahniah. 	 تهنيئه.
Ya guru. 	 يا ڬورو.
Nirnama. 	 نيرنام.
Bahagia. 	 بهاڬيا.
Nirnama. 	 نيرنام.
Nirnama. 	 نيرنام.
Nirnama. 	 نيرنام.
Nirnama. 	 نيرنام.
Mungkin. 	 موڠكين.
Membumi. 	 ممبومي.
Menarik. 	 مناريق.
Mungkin. 	 موڠكين.
Silakan. 	 سيلاكن.
Silakan. 	 سيلاكن.
Sebentar. 	 سبنتر.
Terkejut. 	 تركجوت.
Benarlah. 	 بنرله.
Betullah. 	 بتوله.
Berambus. 	 برمبوس.
Kemudian. 	 كمودين.
Semuanya. 	 سمواڽ.
Perlahan. 	 ڤرلاهن.
Berfikir. 	 برفيكير.
Aaaaargh. 	 ااااارغ.
Baguslah. 	 باڬوسله.
Apa kata. 	 اڤ كات.
Ya benar. 	 يا بنر.
Berhenti. 	 برهنتي.
Tanyalah. 	 تاڽله.
Yakinlah. 	 يقينله.
Mencabar. 	 منچابر.
Ganjaran. 	 ڬنجرن.
Berambus. 	 برمبوس.
Bertahan. 	 برتاهن.
Sebentar. 	 سبنتر.
Mustahil. 	 مستحيل.
Akhirnya. 	 اخيرڽ.
Puteriku. 	 ڤوتريكو.
Biasalah. 	 بياساله.
Akhirnya. 	 اخيرڽ.
Anakanda. 	 انقندا.
Keluarlah. 	 كلوارله.
Terpulang. 	 ترڤولڠ.
Jaga diri. 	 جاݢ ديري.
Bagaimana. 	 باڬايمان.
Sama-sama. 	 سام٢.
Aku kagum. 	 اكو كاڬوم.
Bertenang. 	 برتنڠ.
Bertenang. 	 برتنڠ.
Muhasabah. 	 محاسبة.
Bagaimana. 	 باڬايمان.
Aku redha. 	 اكو رضا.
Bertenang. 	 برتنڠ.
Garangnya. 	 ڬارڠڽ.
Keris ini. 	 كريس اين.
Ya, Jagat. 	 يا، جاڬت.
Bagaimana. 	 باڬايمان.
Bagaimana. 	 باڬايمان.
Ya, benar. 	 يا، بنر.
Bagaimana. 	 باڬايمان.
Ah, ya ya. 	 اه، يا يا.
Harapanku. 	 هارڤنكو.
bertarung. 	 برتاروڠ.
Ah, ya ya. 	 اه، يا يا.
Engkau ini. 	 اڠكاو اين.
Seru semua. 	 سرو سموا.
aku, Nadim. 	 اكو، نديم.
Menggeleng. 	 مڠڬيليڠ.
papan kayu. 	 ڤاڤن كايو.
Tanpa Nama. 	 تنڤا نام.
Menggeleng. 	 مڠڬيليڠ.
Tuan, puan. 	 توان، ڤوان.
Woi, Jenin. 	 ووي، جنين.
Menggeleng. 	 مڠڬيليڠ.
Berani eng. 	 براني اڠ.
Jagat Suci. 	 جاڬت سوچي.
Semestinya. 	 سمستيڽ.
Nadim kelu. 	 نديم كلو.
Tiada beza. 	 تياد بيذا.
Sin-lam-ta. 	 سين-لم-تا.
Percayalah. 	 ڤرچايله.
Baik, guru. 	 باءيق، ڬورو.
Tanpa nama. 	 تنڤا نام.
Ah, engkau. 	 اه، اڠكاو.
Sufi jundi. 	 صوفي جوندى.
Dia ketawa. 	 دي كتاوا.
Demi Allah. 	 دمي الله.
Oh, begitu. 	 اوه، بڬيتو.
Jika tidak. 	 جک تيدق.
Bangkitlah. 	 بڠكيتله.
Menggeleng. 	 مڠڬيليڠ.
Tiada rumah. 	 تياد رومه.
Heh heh heh. 	 هيه هيه هيه.
Kurang ajar. 	 كورڠ اجر.
Dia terjeda. 	 دي ترجيدا.
Maafkan mak. 	 معافكن مق.
Sudah pasti. 	 سوده ڤستي.
Insya-Allah. 	 إن شاء الله.
Ah, pak cik. 	 اه، ڤق چيق.
Tidak perlu. 	 تيدق ڤرلو.
Ikutlah aku. 	 ايكوتله اكو.
Engkau guru. 	 اڠكاو ڬورو.
Terperanjat. 	 ترڤرنجت.
Dia terdiam. 	 دي ترديام.
Ugh, kenapa. 	 اوغ، كناڤ.
Kurang ajar. 	 كورڠ اجر.
Seperguruan. 	 سڤرڬوروان.
Ah, Adiwaja. 	 اه، اديواج.
Insya-Allah. 	 إن شاء الله.
Insya-Allah. 	 إن شاء الله.
Dia terpana. 	 دي ترڤان.
Ah, kakanda. 	 اه، ككندا.
Ayuh, duduk. 	 ايوه، دودوق.
Dia terdiam. 	 دي ترديام.
Fikirkanlah. 	 فيكيركنله.
Dia tertawa. 	 دي ترتاوا.
Masya-Allah. 	 مشاء الله.
Ya, kakanda. 	 يا، ككندا.
Dia terkelu. 	 دي تركلو.
Tetapi kini. 	 تتاڤي كيني.
Menyerahlah. 	 مڽراهله.
Kurang ajar. 	 كورڠ اجر.
Apakah guru. 	 اڤاكه ڬورو.
Jelas kagum. 	 جلس كاڬوم.
Cakaplah ya. 	 چاكڤله يا.
Khilaf kami. 	 خلاف كامي.
Sudah pasti. 	 سوده ڤستي.
Aku Nirnama. 	 اكو نيرنام.
Kucar-kacir. 	 كوچر-كاچير.
Dia menoleh. 	 دي منوليه.
Ya, jahanam. 	 يا، جهنم.
Aku terhibur. 	 اكو ترهيبور.
Allahu akbar. 	 الله أكبر.
Jeda sedetik. 	 جيدا سدتيق.
Allahu akbar. 	 الله اكبر.
Itu amanahku. 	 ايت امانهكو.
Bagus, bagus. 	 باڬوس، باڬوس.
Macam inilah. 	 ماچم اينله.
Malam ini ya. 	 مالم اين يا.
Gunalah akal. 	 ڬوناله عقل.
Manis sekali. 	 مانيس سكالي.
Manuk Pansuh. 	 مانوق ڤنسوه.
Terima kasih. 	 تريما كاسيه.
Seorang diri. 	 سأورڠ ديري.
Buyong! Kali. 	 بويوڠ! كالي.
Kurus kering. 	 كوروس كريڠ.
Nadim ketawa. 	 نديم كتاوا.
Hah, Nirnama. 	 هاه، نيرنام.
Nadim ketawa. 	 نديم كتاوا.
Terima kasih. 	 تريما كاسيه.
Benar, Jenin. 	 بنر، جنين.
Inilah Islam. 	 اينله إسلام.
Tetapi tegas. 	 تتاڤي تڬس.
Hah, itu dia. 	 هاه، ايت دي.
Nadim ketawa. 	 نديم كتاوا.
Dalaman kita. 	 دالمن كيت.
Bagus, Jenin. 	 باڬوس، جنين.
Melalui alam. 	 ملالوءي عالم.
Hapuskan dia. 	 هاڤوسكن دي.
Aku berpuasa. 	 اكو برڤواسا.
Nadim ketawa. 	 نديم كتاوا.
Nadim ketawa. 	 نديم كتاوا.
Jebat ketawa. 	 جبت كتاوا.
Nadim teruja. 	 نديم تروجا.
Tujuh syarat. 	 توجوه شرط.
Ah, sebentar. 	 اه، سبنتر.
Hati ke hati. 	 هاتي كهاتي.
Nirnama diam. 	 نيرنام ديام.
Tuha menoleh. 	 توها منوليه.
Atau keramat. 	 اتاو كرامت.
Sedarkan dia. 	 سدركن دي.
Nirnama akur. 	 نيرنام اكور.
Aku, kakanda. 	 اكو،ككندا.
Gelap gelita. 	 ڬلڤ ڬليتا.
Saksikan ini. 	 سقسيكن اين.
Tuha tertawa. 	 توها ترتاوا.
Ayuh, adinda. 	 ايوه، اديندا.
Benar, Nadim. 	 بنر، نديم.
Tuha tertawa. 	 توها ترتاوا.
Terima kasih. 	 تريما كاسيه.
Terima kasih. 	 تريما كاسيه.
Bagus, bagus. 	 باڬوس، باڬوس.
Nirnama mara. 	 نيرنام مارا.
Nirnama diam. 	 نيرنام ديام.
Jangan risau. 	 جاڠن ريساو.
Dia menunduk. 	 دي منوندوق.
Aku memahami. 	 اكو ممهمي.
Tidak, tidak. 	 تيدق، تيدق.
Terima kasih. 	 تريما كاسيه.
Benar, bonda. 	 بنر، بوندا.
Allahu akbar. 	 الله اكبر.
Nadim ketawa. 	 نديم كتاوا.
Lela rentaka. 	 للا رنتاک.
Ayuh Nirnama. 	 ايوه نيرنام.
Ampun tuanku. 	 امڤون توانكو.
Itulah Islam. 	 ايتله إسلام.
Bertenanglah. 	 برتنڠله.
Ya, Alauddin. 	 يا،علاءالدين.
Kita ke sana. 	 كيت كسانا.
Dia ternganga. 	 دي ترڠاڠا.
Menempah maut. 	 منمڤه موت.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Damar menukas. 	 دامر منوكس.
Dia tersenyum. 	 دي ترسڽوم.
Alhamdulillah. 	 الحمد لله.
Alhamdulillah. 	 الحمد لله.
Jebat tertawa. 	 جبت ترتاوا.
Desir Nirnama. 	 دسير نيرنام.
Ayuh aku ajar. 	 ايوه اكو اجر.
Alhamdulillah. 	 الحمد لله.
Kekal membatu. 	 ككل ممباتو.
Nadim tertawa. 	 نديم ترتاوا.
Dia tersengih. 	 دي ترسڠيه.
Wah, beratnya. 	 واه، برتڽ.
Jika demikian. 	 جک دمكين.
Balasan Tuhan. 	 بالسن توهن.
Pemberi Nyawa. 	 ڤمبري ڽاوا.
Kerana itulah. 	 كران ايتله.
Semua tertawa. 	 سموا ترتاوا.
Maaf, Nirnama. 	 معاف، نيرنام.
Matanya tajam. 	 ماتڽ تاجم.
Dia ternganga. 	 دي ترڠاڠا.
Cantik sekali. 	 چنتيق سكالي.
Tarik nafasmu. 	 تاريق نفسمو.
Dengan pantas. 	 دڠن ڤانتس.
Dia berpaling. 	 دي برڤاليڠ.
Tidak mengapa. 	 تيدق مڠاڤ.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Alhamdulillah. 	 الحمد لله.
Sayu nan hiba. 	 سايو نن هيبا.
Faham, tuanku. 	 فهم، توانكو.
Khabarnya ini. 	 خبرڽ اين.
Dari kayangan. 	 دري كايڠن.
Hah, aku tahu. 	 هاه، اكو تاهو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Tuha mencelah. 	 توها منچله.
Tuha bertegas. 	 توها برتڬس.
Matanya tajam. 	 ماتڽ تاجم.
Nadim tertawa. 	 نديم ترتاوا.
Tuha mencelah. 	 توها منچله.
Ingat hal ini. 	 ايڠت حال اين.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Tuha mencelah. 	 توها منچله.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Semua terdiam. 	 سموا ترديام.
Semua bernama. 	 سموا برنام.
Alhamdulillah. 	 الحمدللّه.
Alhamdulillah. 	 الحمدللّه.
Alhamdulillah. 	 الحمدللّه.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Patik Adiwaja. 	 ڤاتيق اديواج.
Tetapi engkau. 	 تتاڤي اڠكاو.
Baru tersedar. 	 بارو ترسدر.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Dia mendongak. 	 دي مندوڠاق.
Bukan di sini. 	 بوكن دسيني.
Alhamdulillah. 	 الحمد لله.
Alhamdulillah. 	 الحمدلله.
Alhamdulillah. 	 الحمدلله.
Benar, tuanku. 	 بنر، توانكو.
Itulah engkau. 	 ايتله اڠكاو.
Dia mendongak. 	 دي مندوڠاق.
Tuanku puteri. 	 توانكو ڤوتري.
Wah, wah, wah. 	 واه، واه، واه.
Ampun, tuanku. 	 امڤون، توانكو.
Alhamdulillah. 	 الحمدلله.
Ampun, tuanku. 	 امڤون، توانكو.
Seperti biasa. 	 سڤرتي بياسا.
Ampun, tuanku. 	 امڤون، توانكو.
Jebat tertawa. 	 جبت ترتاوا.
Jenin terkaku. 	 جنين تركاكو.
Alhamdulillah. 	 الحمدلله.
Tawanya sirna. 	 تاواڽ سيرنا.
Ayuh, bangkit. 	 ايوه، بڠكيت.
Benar, tuanku. 	 بنر، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Benar, tuanku. 	 بنر، توانكو.
Ampun, tuanku. 	 امڤون، توانكو.
Aku tidak tahu. 	 اكو تيدق تاهو.
Aku boleh ajar. 	 اكو بوليه اجر.
Bersihkan diri. 	 برسيهكن ديري.
Nadim mencebik. 	 نديم منچبيق.
Nadim mencebik. 	 نديم منچبيق.
Namaku Cendana. 	 نامكو چندانا.
Itu di daratan. 	 ايت ددارتن.
Turunkan Nadim. 	 تورونكن نديم.
Tiada pengeras. 	 تياد ڤڠرس.
Menarik, bukan. 	 مناريق، بوكن.
Dia menggeleng. 	 دي مڠڬيليڠ.
Seperti lemang. 	 سڤرتي لمڠ.
Ayah dan ibumu. 	 ايه دان ايبومو.
Hah, dahagalah. 	 هاه، دهاݢله.
Aku kakandanya. 	 اكو ككنداڽ.
Cendana teruja. 	 چندانا تروجا.
Jenin bersuara. 	 جنين برسوارا.
Membatu sahaja. 	 ممباتو سهاج.
Adiwaja ketawa. 	 اديواج كتاوا.
Maka terjunlah. 	 مک ترجونله.
Muhammad Jenin. 	 محمد جنين.
Nadim mencelah. 	 نديم منچله.
Astaghfirullah. 	 استغفر الله.
Dia menggeleng. 	 دي مڠڬيليڠ.
Perlahan-lahan. 	 ڤرلاهن-لاهن.
Nadim mencelah. 	 نديم منچله.
Tak seronoklah. 	 تق سرونوقله.
Tuanku? Apakah. 	 توانكو؟ اڤاكه.
Nadim mencebik. 	 نديم منچبيق.
Dia mengangguk. 	 دي مڠڠڬوق.
Apa maksud Cik. 	 اڤ مقصود چيق.
Aku pula Nadim. 	 اكو ڤولا نديم.
Dia mengangguk. 	 دي مڠڠڬوق.
Jebat bersuara. 	 جبت برسوارا.
Nadim mencebik. 	 نديم منچبيق.
Tuha terpempan. 	 توها ترڤمڤن.
Tuha mendengus. 	 توها مندڠوس.
Celaka, kalian. 	 چلاک، كالين.
Dia mengangguk. 	 دي مڠڠڬوق.
Itu usaha kita. 	 ايت اوسها كيت.
Kiri dan kanan. 	 كيري دان كانن.
Dia menggeleng. 	 دي مڠڬيليڠ.
Dia terus mara. 	 دي تروس مارا.
Bersihkan hati. 	 برسيهكن هاتي.
Tuha terpempan. 	 توها ترڤمڤن.
Dia menggeleng. 	 دي مڠڬيليڠ.
Astaghfirullah. 	 استغفراللّه.
Hati-hati guru. 	 هاتي٢ ڬورو.
Jadi bagaimana. 	 جادي باڬايمان.
Darah memercik. 	 داره ممرچيک.
Matilah engkau. 	 ماتيله اڠكاو.
Darah memercik. 	 داره ممرچيق.
Nadim mencebik. 	 نديم منچبيق.
Otak bergeliga. 	 اوتق برڬليݢ.
Kami bersetuju. 	 كامي برستوجو.
Nadim mencebik. 	 نديم منچبيق.
Alah, kamu ini. 	 اله، كامو اين.
Dia menggeleng. 	 دي مڠڬيليڠ.
Ke sini, Jebat. 	 كسيني، جبت.
Dia menggeleng. 	 دي مڠڬيليڠ.
Ayuh bersamaku. 	 ايوه برسامکو.
Pergi, Nirnama. 	 ڤرڬي، نيرنام.
Bangun, Mansur. 	 باڠون، منصور.
Siaga, kakanda. 	 سياݢ،ككندا.
Celaka, kalian. 	 چلاک، كالين.
Nadim mencelah. 	 نديم منچله.
Berundur, Nadim. 	 براوندور، نديم.
Cerdas orangnya. 	 چردس اورڠڽ.
Aku memahaminya. 	 اكو ممهميڽ.
Nirnama bangkit. 	 نيرنام بڠكيت.
Janganlah marah. 	 جاڠنله ماره.
Rajuna bersuara. 	 راجونا برسوارا.
Ya, anak-anakku. 	 يا، انق-انقكو.
Cendana tertawa. 	 چندانا ترتاوا.
Cendana tertawa. 	 چندانا ترتاوا.
Mendengus kecil. 	 مندڠوس كچيل.
Rayu si ibu tua. 	 رايو سي ايبو توا.
Nirnama berdiri. 	 نيرنام برديري.
Jelita mencelah. 	 جليتا منچله.
Jelita menambah. 	 جليتا منمبه.
Cendana terdiam. 	 چندانا ترديام.
Sebentar sahaja. 	 سبنتر سهاج.
Aku masih hidup. 	 اكو ماسيه هيدوڤ.
Jenin tersenyum. 	 جنين ترسڽوم.
Apa lagi kebiad. 	 اڤ لاڬي كبياد.
Sesat dan rosak. 	 سست دان روسق.
Pujuklah jiwamu. 	 ڤوجوقله جيوامو.
Itu cinta palsu. 	 ايت چينتا ڤلسو.
Kita sudah tiba. 	 كيت سوده تيبا.
Heh, baru engka. 	 هيه، بارو اڠک.
Matanya berkaca. 	 ماتڽ بركاچ.
Nadim berpaling. 	 نديم برڤاليڠ.
Jelas tujuannya. 	 جلس توجوانڽ.
Tiada yang lain. 	 تياد يڠ لاءين.
Nirnama terpana. 	 نيرنام ترڤان.
Angkat kepalamu. 	 اڠكت كڤالامو.
Jebat mendengus. 	 جبت مندڠوس.
Pemerintah kita. 	 ڤمرينته كيت.
Aku semakin tua. 	 اكو سماكين توا.
Keluar sekarang. 	 كلوار سكارڠ.
Nafasnya tenang. 	 نفسڽ تنڠ.
Adiwaja tertawa. 	 اديواج ترتاوا.
Tiada berpuakan. 	 تياد برڤواقن.
Tanpa nama?  Ya. 	 تنڤا نام؟  يا.
Cendana terpana. 	 چندانا ترڤان.
Nirnama terpana. 	 نيرنام ترڤان.
Bukan masalahku. 	 بوكن مسئلهكو.
Nirnama terkaku. 	 نيرنام تركاكو.
Jebat mendengus. 	 جبت مندڠوس.
Tawa Tuha surut. 	 تاوا توها سوروت.
Celaka, Nirnama. 	 چلاک، نيرنام.
Kita berbincang. 	 كيت بربينچڠ.
Bangun, Nirnama. 	 باڠون، نيرنام.
Itulah Alauddin. 	 ايتله علاءالدين.
Tuha mengangguk. 	 توها مڠڠڬوق.
Dia menyeringai. 	 دي مڽريڠا.
Tuanku Alauddin. 	 توانكو علاءالدين.
Allah bersamaku. 	 الله برسامکو.
Tidak berganjak. 	 تيدق برڬنجق.
Itu tanah airku. 	 ايت تانه اءيركو.
Cendana tertawa. 	 چندانا ترتاوا.
Nadim tersengih. 	 نديم ترسڠيه.
Darah terpercik. 	 داره ترڤرچيک.
Aku masih ingat. 	 اكو ماسيه ايڠت.
Hah, lakukanlah. 	 هاه، لاكوكنله.
Panglima Hamzah. 	 ڤڠليما حمزه.
Tajinya panjang. 	 تاجيڽ ڤنجڠ.
Segak dan kemas. 	 سيڬق دان كمس.
Orang perempuan. 	 اورڠ ڤرمڤوان.
Panglima Hamzah. 	 ڤڠليما حمزه.
Nirnama membisu. 	 نيرنام ممبيسو.
Nadim, beransur. 	 نديم، برانسور.
Menarik, tuanku. 	 مناريق، توانكو.
Kasturi bangkit. 	 كستوري بڠكيت.
Nirnama bangkit. 	 نيرنام بڠكيت.
Dengan izin-Nya. 	 دڠن ايذينڽ.
Turut tersenyum. 	 توروت ترسڽوم.
Dialah orangnya. 	 دياله اورڠڽ.
Nirnama bangkit. 	 نيرنام بڠكيت.
Tuanku Alauddin. 	 توانكو علاءالدين.
Hidup di jalanan. 	 هيدوڤ دجالنن.
Dahinya berkerut. 	 داهيڽ بركروت.
Aku tidak peduli. 	 اكو تيدق ڤدولي.
Dahinya berkerut. 	 داهيڽ بركروت.
Keris ditujahnya. 	 كريس دتواجهڽ.
Aku perlu berani. 	 اكو ڤرلو براني.
Waalaikumussalam. 	 وعليكم السلام.
Ayuh ke tempatku. 	 ايوه كتمڤتكو.
Salam perkenalan. 	 سلام ڤركنلن.
Matanya bersinar. 	 ماتڽ برسينر.
Nirnama berdesir. 	 نيرنام بردسير.
Nadim mengangguk. 	 نديم مڠڠڬوق.
Nirnama membalas. 	 نيرنام ممبالس.
Menarik, menarik. 	 مناريق، مناريق.
Nirnama menunduk. 	 نيرنام منوندوق.
Nirnama bersuara. 	 نيرنام برسوارا.
Matanya membulat. 	 ماتڽ ممبولت.
Hah, Cik Cendana. 	 هاه، چيق چندانا.
Mari sertai kami. 	 ماري سرتاءي كامي.
Jadi Cik Cendana. 	 جادي چيق چندانا.
Cendana menambah. 	 چندانا منمبه.
Tanggang, anakku. 	 تڠڬڠ، انقكو.
Cendana bersuara. 	 چندانا برسوارا.
Hati Nadim luluh. 	 هاتي نديم لولوه.
Nirnama berdesir. 	 نيرنام بردسير.
Pak cik, mak cik. 	 ڤق چيق، مق چيق.
Si bapa menambah. 	 سي باڤ منمبه.
Pedagang masyhur. 	 ڤدڬڠ مشهور.
Nirnama bersuara. 	 نيرنام برسوارا.
Cendana berbisik. 	 چندانا بربيسيق.
Nadim mengangguk. 	 نديم مڠڠڬوق.
Nirnama berdesir. 	 نيرنام بردسير.
Matanya membulat. 	 ماتڽ ممبولت.
Matanya membesar. 	 ماتڽ ممبسر.
Semua telah mati. 	 سموا تله ماتي.
Cendana bersuara. 	 چندانا برسوارا.
Nirnama bersuara. 	 نيرنام برسوارا.
Terus dia bangun. 	 تروس دي باڠون.
Jenin menggeleng. 	 جنين مڠڬيليڠ.
Assalamu’alaikum. 	 السلام عليكم.
Waalaikumussalam. 	 وعليكم السلام.
Nirnama berdesir. 	 نيرنام بردسير.
Jenin menggeleng. 	 جنين مڠڬيليڠ.
Cendana bersuara. 	 چندانا برسوارا.
Nirnama bersuara. 	 نيرنام برسوارا.
Ayuh rakan-rakan. 	 ايوه راكن٢.
Cendana bersuara. 	 چندانا برسوارا.
Nirnama berdesir. 	 نيرنام بردسير.
Sepantas mungkin. 	 سڤانتس موڠكين.
Baiklah, baiklah. 	 باءيقله، باءيقله.
Aku akan ke sana. 	 اكو اكن كسان.
Kami seteru lama. 	 كامي سترو لاما.
Matanya membulat. 	 ماتڽ ممبولت.
Matanya membulat. 	 ماتڽ ممبولت.
Nirnama bersuara. 	 نيرنام برسوارا.
Jelas, dia murka. 	 جلس، دي مورک.
Matanya membulat. 	 ماتڽ ممبولت.
Matanya membesar. 	 ماتڽ ممبسر.
Silat Tanpa Nama. 	 سيلت تنڤا نام.
Nirnama berhenti. 	 نيرنام برهنتي.
Nadim jadi cemas. 	 نديم جادي چمس.
Pancaindera kita. 	 ڤنچاإيندرا كيت.
Seperti sekarang. 	 سڤرتي سكارڠ.
Cendana bersuara. 	 چندانا برسوارا.
Tegas lagi tajam. 	 تڬس لاڬي تاجم.
Nirnama membalas. 	 نيرنام ممبالس.
Cendana menambah. 	 چندانا منمبه.
Pipinya cengkung. 	 ڤيڤيڽ چڠكوڠ.
Adiwaja bersuara. 	 اديواج برسوارا.
Al-Isra’ ayat 79. 	 الإسراء ايات 79.
Selamanya begitu. 	 سلاماڽ بڬيتو.
Kekuda dibukanya. 	 ككودا دبوكاڽ.
Matanya membesar. 	 ماتڽ ممبسر.
Matanya membulat. 	 ماتڽ ممبولت.
Dua sudah banyak. 	 دوا سوده باڽق.
Adiwaja bersuara. 	 اديواج برسوارا.
Sudah semestinya. 	 سوده سمستيڽ.
Ini untuk kalian. 	 اين اونتوق كالين.
Ah, Kakanda Tuha. 	 اه، ككندا توها.
Seperti sekarang. 	 سڤرتي سكارڠ.
Nirnama bersuara. 	 نيرنام برسوارا.
Bagus, anak muda. 	 باڬوس، انق مودا.
Kasturi bersuara. 	 كستوري برسوارا.
Kasturi menambah. 	 كستوري منمبه.
Nirnama bersuara. 	 نيرنام برسوارا.
Seni Latih Taqwa. 	 سني لاتيه تقوى.
Bibirnya menipis. 	 بيبيرڽ منيڤيس.
Dahinya berkerut. 	 داهيڽ بركروت.
Assalamu’alaikum. 	 السلام عليكم.
Waalaikumussalam. 	 وعليكم السلام.
Dahinya berkerut. 	 داهيڽ بركروت.
Risau akan dunia. 	 ريساو اكن دنيا.
Alauddin meraung. 	 علاءالدين مراءوڠ.
Masa mencemburui. 	 ماس منچمبوروءي.
